circuitId,Did not finish,Podium,Pos 4 to 10,Accident / Collision,SC,Dry,Wet,pitStop timing (avg),pitStop timing prop(driver),driverId,number,code,H,surname,dob,nationality,url,resultId_x,constructorId_x,grid_x,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,race_class,resultId_y,constructorId_y,grid_y,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,driver_error_rate,constructor_error_rate,circuit_error_rate,label
1,0.33,0.33,0.33,0.0,0.67,1.0,0.0,14691.0,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,22918,131,1,18.0,57,8.06,6503625.0,48.0,4.0,90600.0,210.608,1,22918,131,1,16,5.303,58,307.574,321.1,2,0.77,843,5.0,46,0.009615385,0.073717949,0.126245847,1
3,0.0,0.67,0.33,0.0,0.33,1.0,0.0,23758.0,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,22941,131,1,15.0,57,30.148,5644844.0,43.0,2.0,94700.0,205.785,1,22941,131,1,15,5.412000000000001,57,308.238,329.6,2,0.72,1205,3.0,56,0.009615385,0.073717949,0.028571429,1
17,0.0,1.0,0.0,0.0,0.33,1.0,0.0,21944.666666666668,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,22967,131,22,6.0,56,+1:18.230,6012121.0,32.0,10.0,100700.0,194.945,2,22967,131,22,16,5.4510000000000005,56,305.066,348.0,2,0.54,1397,5.0,51,0.009615385,0.073717949,0.046357616,1
71,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,22984,131,10,18.0,53,25.022,5587019.0,36.0,4.0,100300.0,209.96900000000002,1,22984,131,10,18,5.848,53,309.745,326.0,2,0.75,1073,3.0,54,0.009615385,0.073717949,0.108433735,1
4,0.0,0.67,0.0,0.0,0.0,1.0,0.0,21670.666666666668,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23025,131,1,0.0,0,,,,,,,0,23025,131,1,16,4.655,66,307.10400000000004,332.0,2,0.72,1310,5.0,45,0.009615385,0.073717949,0.069536424,0
6,0.0,0.67,0.0,0.0,1.0,1.0,0.0,25935.0,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23027,131,3,25.0,78,59:29.1,7169133.0,71.0,1.0,77900.0,154.135,1,23027,131,3,19,3.3369999999999997,78,260.286,290.0,1,0.34,669,5.0,47,0.009615385,0.073717949,0.160535117,1
7,0.33,0.67,0.0,0.0,0.33,1.0,0.0,22639.33333333333,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23049,131,1,25.0,70,31:05.3,5465296.0,68.0,2.0,76000.0,206.625,1,23049,131,1,14,4.361000000000001,70,305.27,315.5,2,0.76,1190,3.0,52,0.009615385,0.073717949,0.106382979,1
70,0.0,1.0,0.0,0.0,0.5,1.0,0.0,22212.0,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23093,131,1,25.0,71,27:38.1,5258107.0,67.0,1.0,68400.0,227.64700000000002,1,23093,131,1,10,4.3260000000000005,71,307.02,327.4,2,0.79,868,2.0,32,0.009615385,0.073717949,0.023809524,1
9,0.0,0.67,0.0,0.0,1.0,0.67,0.0,27635.0,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23115,131,1,25.0,52,34:55.8,5695831.0,45.0,3.0,95800.0,221.44,1,23115,131,1,18,5.891,52,306.332,329.5,2,0.7,1034,5.0,40,0.009615385,0.073717949,0.066225166,1
11,0.0,0.67,0.33,0.0,0.67,0.67,0.0,20693.0,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23137,131,2,25.0,70,40:30.1,6030115.0,69.0,3.0,83800.0,188.095,1,23137,131,2,14,4.381,70,306.67,315.0,2,0.5,908,5.0,28,0.009615385,0.073717949,0.043046358,1
13,0.33,0.67,0.0,0.0,0.33,1.0,0.0,23464.66666666667,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23183,131,21,15.0,44,27.634,6318692.0,40.0,1.0,111600.0,225.96900000000002,1,23183,131,21,19,7.004,44,308.052,319.6,2,0.7,2015,3.0,42,0.009615385,0.073717949,0.103571429,1
14,0.0,0.67,0.33,0.0,0.0,1.0,0.0,24378.66666666667,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23204,131,1,18.0,53,15.07,4663159.0,27.0,4.0,86300.0,241.646,1,23204,131,1,11,5.792999999999999,53,306.72,350.0,2,0.84,1520,1.0,36,0.009615385,0.073717949,0.043046358,1
15,0.33,0.33,0.33,0.0,1.0,1.0,0.0,29100.5,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23227,131,3,15.0,61,8.038,6956988.0,52.0,3.0,107800.0,169.22099999999998,1,23227,131,3,23,5.065,61,308.965,323.0,3,0.49,832,,70,0.009615385,0.073717949,0.114678899,1
2,0.0,1.0,0.0,0.0,0.33,0.67,0.0,23311.33333333333,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23264,131,1,0.0,40,,,31.0,7.0,98600.0,202.391,0,23264,131,1,15,5.542999999999999,56,310.408,329.0,2,0.45,1029,5.0,40,0.009615385,0.073717949,0.036184211,0
22,0.33,0.67,0.0,0.0,0.33,0.67,0.33,24046.33333333333,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23271,131,2,15.0,53,5.776,5209109.0,36.0,2.0,95200.0,219.703,1,23271,131,2,18,5.807,53,307.471,328.0,1,0.66,994,5.0,48,0.009615385,0.073717949,0.073359073,1
69,0.0,0.67,0.0,0.0,1.0,0.67,0.0,24078.66666666667,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23291,131,1,25.0,56,38:12.6,5892618.0,45.0,4.0,102400.0,193.842,1,23291,131,1,20,5.513,56,308.728,325.3,2,0.59,1090,3.0,66,0.009615385,0.073717949,0.047619048,1
32,0.0,1.0,0.0,0.0,1.0,1.0,0.0,22328.0,0.07304609346789652,1,44.0,HAM,Lewis,Hamilton,7/1/1985,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,23313,131,1,25.0,71,40:31.4,6031402.0,66.0,4.0,82600.0,187.592,1,23313,131,1,17,4.303999999999999,71,305.35400000000004,349.0,2,0.45,1200,5.0,52,0.009615385,0.073717949,0.048387097000000004,1
